TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
62852ad6,b062cdab,872edec0,830e2c89,32e6d0a3,4ead8b36,eee0c38f,2e8d3af6,f0e3cfaf,8f200082,08143000,00000000,00000000
6a854b17,b064d1bb,874f1fc0,85123c89,5327d0a5,52bd8b57,2fe0c593,3e8d5b37,f0e5d3bf,8f400103,08183800,00000000,00000000
72956b58,3166d5c3,976f6041,87164499,736851a7,56c59b77,7061c797,469d7b78,71e7d7c7,90004104,0a184000,00000000,00000000
7aa58bd8,3268ddc3,a78fe042,891e44a9,93e852a9,5ec5ab97,f062c99f,46ad9bf8,72e9dfc7,a0008184,0c1c4000,00000000,00000000
02b5ac18,b36ae1cb,b7b020c3,8b224cb9,b428d3ab,62cdbbb8,30e3cba3,4ebdbc38,f3ebe3c8,00208205,0c204800,00000000,00000000
0ac5ec19,346ee1d3,c7f02144,8f2254c9,f42954af,62d5cbf8,3164cfa3,56cdfc39,74efe3d0,0040c206,0e205000,00000000,00000000
12d60c59,b570e5db,d81061c5,91265cda,1469d5b1,66dddc18,71e5d1a7,5ede1c79,f5f1e400,10410286,10245800,00000000,00000000
1af60c9a,3770e9e3,f810a247,912a64fa,14aa57b1,6ae5fc18,b267d1ab,66fe1cba,77f1e800,20610307,10286000,00000000,00000000
23062cda,b872edec,0830e2c8,932e6d0a,34ead8b3,6eee0c38,f2e8d3af,6f0e3cfa,f8f20008,20814308,122c6800,00000000,00000000
2b064d1b,b874f1fc,085123c8,95327d0a,552bd8b5,72fe0c59,33e8d5b3,7f0e5d3b,f8f40010,30818388,14307800,00000000,00000000
33166d5c,3976f604,18716449,9736851a,756c59b7,77061c79,7469d7b7,871e7d7c,79000410,40a18409,16348000,00000000,00000000
3b268ddc,3a78fe04,2891e44a,993e852a,95ec5ab9,7f062c99,f46ad9bf,872e9dfc,7a000818,40c1c40a,183c8000,00000000,00000000
4336ae1c,bb7b020c,38b224cb,9b428d3a,b62cdbbb,830e3cba,34ebdbc3,8f3ebe3c,80020820,50c2048b,1a408800,00000000,00000000
4b46ee1d,3c7f0214,48f2254c,9f42954a,f62d5cbf,83164cfa,356cdfc3,974efe3d,00040c20,60e2050c,1e409000,00000000,00000000
53570e5d,bd81061c,591265cd,a1469d5b,166dddc1,871e5d1a,75ede1c7,9f5f1e40,01041028,6102458d,20449800,00000000,00000000
5b770e9e,3f810a24,7912a64f,a14aa57b,16ae5fc1,8b267d1a,b66fe1cb,a77f1e80,02061030,7102860f,2048a000,00000000,00000000
63872ede,c0830e2c,8932e6d0,a34ead8b,36eee0c3,8f2e8d3a,f6f0e3cf,af8f2000,82081430,8122c690,224ca800,00000000,00000000
6b874f1f,c085123c,895327d0,a552bd8b,572fe0c5,933e8d5b,37f0e5d3,bf8f4001,03081838,81430790,2450b800,00000000,00000000
73976f60,41871644,99736851,a756c59b,777061c7,97469d7b,7871e7d7,c7900041,040a1840,91634811,2654c000,00000000,00000000
7ba78fe0,42891e44,a993e852,a95ec5ab,97f062c9,9f46ad9b,f872e9df,c7a00081,840c1c40,a183c812,285cc000,00000000,00000000
03b7b020,c38b224c,b9b428d3,ab62cdbb,b830e3cb,a34ebdbc,38f3ebe3,c8002082,050c2048,b1a40893,2a60c800,00000000,00000000
0bc7f021,448f2254,c9f42954,af62d5cb,f83164cf,a356cdfc,3974efe3,d00040c2,060e2050,c1e40914,2e60d000,00000000,00000000
13d81061,c591265c,da1469d5,b166dddc,1871e5d1,a75ede1c,79f5f1e4,00104102,86102458,d2044995,3064d800,00000000,00000000
1bf810a2,47912a64,fa14aa57,b16ae5fc,18b267d1,ab66fe1c,ba77f1e8,00206103,07102860,f2048a17,3068e000,00000000,00000000
240830e2,c8932e6d,0a34ead8,b36eee0c,38f2e8d3,af6f0e3c,faf8f200,08208143,08122c69,0224ca98,326ce800,00000000,00000000
2c085123,c895327d,0a552bd8,b572fe0c,5933e8d5,b37f0e5d,3bf8f400,10308183,88143079,02450b98,3470f800,00000000,00000000
34187164,49973685,1a756c59,b777061c,797469d7,b7871e7d,7c790004,1040a184,09163481,12654c19,36750000,00000000,00000000
3c2891e4,4a993e85,2a95ec5a,b97f062c,99f46ad9,bf872e9d,fc7a0008,1840c1c4,0a183c81,2285cc1a,387d0000,00000000,00000000
4438b224,cb9b428d,3ab62cdb,bb830e3c,ba34ebdb,c38f3ebe,3c800208,2050c204,8b1a4089,32a60c9b,3a810800,00000000,00000000
4c48f225,4c9f4295,4af62d5c,bf83164c,fa356cdf,c3974efe,3d00040c,2060e205,0c1e4091,42e60d1c,3e811000,00000000,00000000
54591265,cda1469d,5b166ddd,c1871e5d,1a75ede1,c79f5f1e,40010410,28610245,8d204499,53064d9d,40851800,00000000,00000000
5c7912a6,4fa14aa5,7b16ae5f,c18b267d,1ab66fe1,cba77f1e,80020610,30710286,0f2048a1,73068e1f,40892000,00000000,00000000
648932e6,d0a34ead,8b36eee0,c38f2e8d,3af6f0e3,cfaf8f20,00820814,308122c6,90224ca9,8326cea0,428d2800,00000000,00000000
6c895327,d0a552bd,8b572fe0,c5933e8d,5b37f0e5,d3bf8f40,01030818,38814307,902450b9,83470fa0,44913800,00000000,00000000
74997368,51a756c5,9b777061,c797469d,7b7871e7,d7c79000,41040a18,40916348,112654c1,93675021,46954000,00000000,00000000
7ca993e8,52a95ec5,ab97f062,c99f46ad,9bf872e9,dfc7a000,81840c1c,40a183c8,12285cc1,a387d022,489d4000,00000000,00000000
04b9b428,d3ab62cd,bbb830e3,cba34ebd,bc38f3eb,e3c80020,82050c20,48b1a408,932a60c9,b3a810a3,4aa14800,00000000,00000000
0cc9f429,54af62d5,cbf83164,cfa356cd,fc3974ef,e3d00040,c2060e20,50c1e409,142e60d1,c3e81124,4ea15000,00000000,00000000
14da1469,d5b166dd,dc1871e5,d1a75ede,1c79f5f1,e4001041,02861024,58d20449,953064d9,d40851a5,50a55800,00000000,00000000
1cfa14aa,57b16ae5,fc18b267,d1ab66fe,1cba77f1,e8002061,03071028,60f2048a,173068e1,f4089227,50a96000,00000000,00000000
250a34ea,d8b36eee,0c38f2e8,d3af6f0e,3cfaf8f2,00082081,4308122c,690224ca,98326cea,0428d2a8,52ad6800,00000000,00000000
2d0a552b,d8b572fe,0c5933e8,d5b37f0e,5d3bf8f4,00103081,83881430,7902450b,983470fa,044913a8,54b17800,00000000,00000000
351a756c,59b77706,1c797469,d7b7871e,7d7c7900,041040a1,84091634,8112654c,19367502,14695429,56b58000,00000000,00000000
3d2a95ec,5ab97f06,2c99f46a,d9bf872e,9dfc7a00,081840c1,c40a183c,812285cc,1a387d02,2489d42a,58bd8000,00000000,00000000
453ab62c,dbbb830e,3cba34eb,dbc38f3e,be3c8002,082050c2,048b1a40,8932a60c,9b3a810a,34aa14ab,5ac18800,00000000,00000000
4d4af62d,5cbf8316,4cfa356c,dfc3974e,fe3d0004,0c2060e2,050c1e40,9142e60d,1c3e8112,44ea152c,5ec19000,00000000,00000000
555b166d,ddc1871e,5d1a75ed,e1c79f5f,1e400104,10286102,458d2044,9953064d,9d40851a,550a55ad,60c59800,00000000,00000000
5d7b16ae,5fc18b26,7d1ab66f,e1cba77f,1e800206,10307102,860f2048,a173068e,1f408922,750a962f,60c9a000,00000000,00000000
658b36ee,e0c38f2e,8d3af6f0,e3cfaf8f,20008208,14308122,c690224c,a98326ce,a0428d2a,852ad6b0,62cda800,00000000,00000000
6d8b572f,e0c5933e,8d5b37f0,e5d3bf8f,40010308,18388143,07902450,b983470f,a044913a,854b17b0,64d1b800,00000000,00000000
759b7770,61c79746,9d7b7871,e7d7c790,0041040a,18409163,48112654,c1936750,21469542,956b5831,66d5c000,00000000,00000000
7dab97f0,62c99f46,ad9bf872,e9dfc7a0,0081840c,1c40a183,c812285c,c1a387d0,22489d42,a58bd832,68ddc000,00000000,00000000
05bbb830,e3cba34e,bdbc38f3,ebe3c800,2082050c,2048b1a4,08932a60,c9b3a810,a34aa14a,b5ac18b3,6ae1c800,00000000,00000000
0dcbf831,64cfa356,cdfc3974,efe3d000,40c2060e,2050c1e4,09142e60,d1c3e811,244ea152,c5ec1934,6ee1d000,00000000,00000000
15dc1871,e5d1a75e,de1c79f5,f1e40010,41028610,2458d204,49953064,d9d40851,a550a55a,d60c59b5,70e5d800,00000000,00000000
1dfc18b2,67d1ab66,fe1cba77,f1e80020,61030710,2860f204,8a173068,e1f40892,2750a962,f60c9a37,70e9e000,00000000,00000000
260c38f2,e8d3af6f,0e3cfaf8,f2000820,81430812,2c690224,ca98326c,ea0428d2,a852ad6b,062cdab8,72ede800,00000000,00000000
2e0c5933,e8d5b37f,0e5d3bf8,f4001030,81838814,30790245,0b983470,fa044913,a854b17b,064d1bb8,74f1f800,00000000,00000000
361c7974,69d7b787,1e7d7c79,00041040,a1840916,34811265,4c193675,02146954,2956b583,166d5c39,76f60000,00000000,00000000
3e2c99f4,6ad9bf87,2e9dfc7a,00081840,c1c40a18,3c812285,cc1a387d,022489d4,2a58bd83,268ddc3a,78fe0000,00000000,00000000
463cba34,ebdbc38f,3ebe3c80,02082050,c2048b1a,408932a6,0c9b3a81,0a34aa14,ab5ac18b,36ae1cbb,7b020800,00000000,00000000
4e4cfa35,6cdfc397,4efe3d00,040c2060,e2050c1e,409142e6,0d1c3e81,1244ea15,2c5ec193,46ee1d3c,7f021000,00000000,00000000
565d1a75,ede1c79f,5f1e4001,04102861,02458d20,44995306,4d9d4085,1a550a55,ad60c59b,570e5dbd,81061800,00000000,00000000
5e7d1ab6,6fe1cba7,7f1e8002,06103071,02860f20,48a17306,8e1f4089,22750a96,2f60c9a3,770e9e3f,810a2000,00000000,00000000
668d3af6,f0e3cfaf,8f200082,08143081,22c69022,4ca98326,cea0428d,2a852ad6,b062cdab,872edec0,830e2800,00000000,00000000
6e8d5b37,f0e5d3bf,8f400103,08183881,43079024,50b98347,0fa04491,3a854b17,b064d1bb,874f1fc0,85123800,00000000,00000000
769d7b78,71e7d7c7,90004104,0a184091,63481126,54c19367,50214695,42956b58,3166d5c3,976f6041,87164000,00000000,00000000
7ead9bf8,72e9dfc7,a0008184,0c1c40a1,83c81228,5cc1a387,d022489d,42a58bd8,3268ddc3,a78fe042,891e4000,00000000,00000000
06bdbc38,f3ebe3c8,00208205,0c2048b1,a408932a,60c9b3a8,10a34aa1,4ab5ac18,b36ae1cb,b7b020c3,8b224800,00000000,00000000
0ecdfc39,74efe3d0,0040c206,0e2050c1,e409142e,60d1c3e8,11244ea1,52c5ec19,346ee1d3,c7f02144,8f225000,00000000,00000000
16de1c79,f5f1e400,10410286,102458d2,04499530,64d9d408,51a550a5,5ad60c59,b570e5db,d81061c5,91265800,00000000,00000000
1efe1cba,77f1e800,20610307,102860f2,048a1730,68e1f408,922750a9,62f60c9a,3770e9e3,f810a247,912a6000,00000000,00000000
270e3cfa,f8f20008,20814308,122c6902,24ca9832,6cea0428,d2a852ad,6b062cda,b872edec,0830e2c8,932e6800,00000000,00000000
2f0e5d3b,f8f40010,30818388,14307902,450b9834,70fa0449,13a854b1,7b064d1b,b874f1fc,085123c8,95327800,00000000,00000000
371e7d7c,79000410,40a18409,16348112,654c1936,75021469,542956b5,83166d5c,3976f604,18716449,97368000,00000000,00000000
3f2e9dfc,7a000818,40c1c40a,183c8122,85cc1a38,7d022489,d42a58bd,83268ddc,3a78fe04,2891e44a,993e8000,00000000,00000000
473ebe3c,80020820,50c2048b,1a408932,a60c9b3a,810a34aa,14ab5ac1,8b36ae1c,bb7b020c,38b224cb,9b428800,00000000,00000000
4f4efe3d,00040c20,60e2050c,1e409142,e60d1c3e,811244ea,152c5ec1,9346ee1d,3c7f0214,48f2254c,9f429000,00000000,00000000
575f1e40,01041028,6102458d,20449953,064d9d40,851a550a,55ad60c5,9b570e5d,bd81061c,591265cd,a1469800,00000000,00000000
5f7f1e80,02061030,7102860f,2048a173,068e1f40,8922750a,962f60c9,a3770e9e,3f810a24,7912a64f,a14aa000,00000000,00000000
678f2000,82081430,8122c690,224ca983,26cea042,8d2a852a,d6b062cd,ab872ede,c0830e2c,8932e6d0,a34ea800,00000000,00000000
6f8f4001,03081838,81430790,2450b983,470fa044,913a854b,17b064d1,bb874f1f,c085123c,895327d0,a552b800,00000000,00000000
77900041,040a1840,91634811,2654c193,67502146,9542956b,583166d5,c3976f60,41871644,99736851,a756c000,00000000,00000000
7fa00081,840c1c40,a183c812,285cc1a3,87d02248,9d42a58b,d83268dd,c3a78fe0,42891e44,a993e852,a95ec000,00000000,00000000
00002082,050c2048,b1a40893,2a60c9b3,a810a34a,a14ab5ac,18b36ae1,cbb7b020,c38b224c,b9b428d3,ab62c800,00000000,00000000
080040c2,060e2050,c1e40914,2e60d1c3,e811244e,a152c5ec,19346ee1,d3c7f021,448f2254,c9f42954,af62d000,00000000,00000000
10104102,86102458,d2044995,3064d9d4,0851a550,a55ad60c,59b570e5,dbd81061,c591265c,da1469d5,b166d800,00000000,00000000
18206103,07102860,f2048a17,3068e1f4,08922750,a962f60c,9a3770e9,e3f810a2,47912a64,fa14aa57,b16ae000,00000000,00000000
20208143,08122c69,0224ca98,326cea04,28d2a852,ad6b062c,dab872ed,ec0830e2,c8932e6d,0a34ead8,b36ee800,00000000,00000000
28308183,88143079,02450b98,3470fa04,4913a854,b17b064d,1bb874f1,fc085123,c895327d,0a552bd8,b572f800,00000000,00000000
3040a184,09163481,12654c19,36750214,69542956,b583166d,5c3976f6,04187164,49973685,1a756c59,b7770000,00000000,00000000
3840c1c4,0a183c81,2285cc1a,387d0224,89d42a58,bd83268d,dc3a78fe,042891e4,4a993e85,2a95ec5a,b97f0000,00000000,00000000
4050c204,8b1a4089,32a60c9b,3a810a34,aa14ab5a,c18b36ae,1cbb7b02,0c38b224,cb9b428d,3ab62cdb,bb830800,00000000,00000000
4860e205,0c1e4091,42e60d1c,3e811244,ea152c5e,c19346ee,1d3c7f02,1448f225,4c9f4295,4af62d5c,bf831000,00000000,00000000
50610245,8d204499,53064d9d,40851a55,0a55ad60,c59b570e,5dbd8106,1c591265,cda1469d,5b166ddd,c1871800,00000000,00000000
58710286,0f2048a1,73068e1f,40892275,0a962f60,c9a3770e,9e3f810a,247912a6,4fa14aa5,7b16ae5f,c18b2000,00000000,00000000
608122c6,90224ca9,8326cea0,428d2a85,2ad6b062,cdab872e,dec0830e,2c8932e6,d0a34ead,8b36eee0,c38f2800,00000000,00000000
68814307,902450b9,83470fa0,44913a85,4b17b064,d1bb874f,1fc08512,3c895327,d0a552bd,8b572fe0,c5933800,00000000,00000000
70916348,112654c1,93675021,46954295,6b583166,d5c3976f,60418716,44997368,51a756c5,9b777061,c7974000,00000000,00000000
78a183c8,12285cc1,a387d022,489d42a5,8bd83268,ddc3a78f,e042891e,44a993e8,52a95ec5,ab97f062,c99f4000,00000000,00000000
00b1a408,932a60c9,b3a810a3,4aa14ab5,ac18b36a,e1cbb7b0,20c38b22,4cb9b428,d3ab62cd,bbb830e3,cba34800,00000000,00000000
08c1e409,142e60d1,c3e81124,4ea152c5,ec19346e,e1d3c7f0,21448f22,54c9f429,54af62d5,cbf83164,cfa35000,00000000,00000000
10d20449,953064d9,d40851a5,50a55ad6,0c59b570,e5dbd810,61c59126,5cda1469,d5b166dd,dc1871e5,d1a75800,00000000,00000000
18f2048a,173068e1,f4089227,50a962f6,0c9a3770,e9e3f810,a247912a,64fa14aa,57b16ae5,fc18b267,d1ab6000,00000000,00000000
210224ca,98326cea,0428d2a8,52ad6b06,2cdab872,edec0830,e2c8932e,6d0a34ea,d8b36eee,0c38f2e8,d3af6800,00000000,00000000
2902450b,983470fa,044913a8,54b17b06,4d1bb874,f1fc0851,23c89532,7d0a552b,d8b572fe,0c5933e8,d5b37800,00000000,00000000
3112654c,19367502,14695429,56b58316,6d5c3976,f6041871,64499736,851a756c,59b77706,1c797469,d7b78000,00000000,00000000
392285cc,1a387d02,2489d42a,58bd8326,8ddc3a78,fe042891,e44a993e,852a95ec,5ab97f06,2c99f46a,d9bf8000,00000000,00000000
4132a60c,9b3a810a,34aa14ab,5ac18b36,ae1cbb7b,020c38b2,24cb9b42,8d3ab62c,dbbb830e,3cba34eb,dbc38800,00000000,00000000
4942e60d,1c3e8112,44ea152c,5ec19346,ee1d3c7f,021448f2,254c9f42,954af62d,5cbf8316,4cfa356c,dfc39000,00000000,00000000
5153064d,9d40851a,550a55ad,60c59b57,0e5dbd81,061c5912,65cda146,9d5b166d,ddc1871e,5d1a75ed,e1c79800,00000000,00000000
5973068e,1f408922,750a962f,60c9a377,0e9e3f81,0a247912,a64fa14a,a57b16ae,5fc18b26,7d1ab66f,e1cba000,00000000,00000000
618326ce,a0428d2a,852ad6b0,62cdab87,2edec083,0e2c8932,e6d0a34e,ad8b36ee,e0c38f2e,8d3af6f0,e3cfa800,00000000,00000000
6983470f,a044913a,854b17b0,64d1bb87,4f1fc085,123c8953,27d0a552,bd8b572f,e0c5933e,8d5b37f0,e5d3b800,00000000,00000000
71936750,21469542,956b5831,66d5c397,6f604187,16449973,6851a756,c59b7770,61c79746,9d7b7871,e7d7c000,00000000,00000000
79a387d0,22489d42,a58bd832,68ddc3a7,8fe04289,1e44a993,e852a95e,c5ab97f0,62c99f46,ad9bf872,e9dfc000,00000000,00000000
01b3a810,a34aa14a,b5ac18b3,6ae1cbb7,b020c38b,224cb9b4,28d3ab62,cdbbb830,e3cba34e,bdbc38f3,ebe3c800,00000000,00000000
09c3e811,244ea152,c5ec1934,6ee1d3c7,f021448f,2254c9f4,2954af62,d5cbf831,64cfa356,cdfc3974,efe3d000,00000000,00000000
11d40851,a550a55a,d60c59b5,70e5dbd8,1061c591,265cda14,69d5b166,dddc1871,e5d1a75e,de1c79f5,f1e40000,00000000,00000000
19f40892,2750a962,f60c9a37,70e9e3f8,10a24791,2a64fa14,aa57b16a,e5fc18b2,67d1ab66,fe1cba77,f1e80000,00000000,00000000
220428d2,a852ad6b,062cdab8,72edec08,30e2c893,2e6d0a34,ead8b36e,ee0c38f2,e8d3af6f,0e3cfaf8,f2000800,00000000,00000000
2a044913,a854b17b,064d1bb8,74f1fc08,5123c895,327d0a55,2bd8b572,fe0c5933,e8d5b37f,0e5d3bf8,f4001000,00000000,00000000
32146954,2956b583,166d5c39,76f60418,71644997,36851a75,6c59b777,061c7974,69d7b787,1e7d7c79,00041000,00000000,00000000
3a2489d4,2a58bd83,268ddc3a,78fe0428,91e44a99,3e852a95,ec5ab97f,062c99f4,6ad9bf87,2e9dfc7a,00081800,00000000,00000000
4234aa14,ab5ac18b,36ae1cbb,7b020c38,b224cb9b,428d3ab6,2cdbbb83,0e3cba34,ebdbc38f,3ebe3c80,02082000,00000000,00000000
4a44ea15,2c5ec193,46ee1d3c,7f021448,f2254c9f,42954af6,2d5cbf83,164cfa35,6cdfc397,4efe3d00,040c2000,00000000,00000000
52550a55,ad60c59b,570e5dbd,81061c59,1265cda1,469d5b16,6dddc187,1e5d1a75,ede1c79f,5f1e4001,04102800,00000000,00000000
5a750a96,2f60c9a3,770e9e3f,810a2479,12a64fa1,4aa57b16,ae5fc18b,267d1ab6,6fe1cba7,7f1e8002,06103000,00000000,00000000
62852ad6,b062cdab,872edec0,830e2c89,32e6d0a3,4ead8b36,eee0c38f,2e8d3af6,f0e3cfaf,8f200082,08143000,00000000,00000000
6a854b17,b064d1bb,874f1fc0,85123c89,5327d0a5,52bd8b57,2fe0c593,3e8d5b37,f0e5d3bf,8f400103,08183800,00000000,00000000
72956b58,3166d5c3,976f6041,87164499,736851a7,56c59b77,7061c797,469d7b78,71e7d7c7,90004104,0a184000,00000000,00000000
7aa58bd8,3268ddc3,a78fe042,891e44a9,93e852a9,5ec5ab97,f062c99f,46ad9bf8,72e9dfc7,a0008184,0c1c4000,00000000,00000000
02b5ac18,b36ae1cb,b7b020c3,8b224cb9,b428d3ab,62cdbbb8,30e3cba3,4ebdbc38,f3ebe3c8,00208205,0c204800,00000000,00000000
0ac5ec19,346ee1d3,c7f02144,8f2254c9,f42954af,62d5cbf8,3164cfa3,56cdfc39,74efe3d0,0040c206,0e205000,00000000,00000000
12d60c59,b570e5db,d81061c5,91265cda,1469d5b1,66dddc18,71e5d1a7,5ede1c79,f5f1e400,10410286,10245800,00000000,00000000
1af60c9a,3770e9e3,f810a247,912a64fa,14aa57b1,6ae5fc18,b267d1ab,66fe1cba,77f1e800,20610307,10286000,00000000,00000000
23062cda,b872edec,0830e2c8,932e6d0a,34ead8b3,6eee0c38,f2e8d3af,6f0e3cfa,f8f20008,20814308,122c6800,00000000,00000000
2b064d1b,b874f1fc,085123c8,95327d0a,552bd8b5,72fe0c59,33e8d5b3,7f0e5d3b,f8f40010,30818388,14307800,00000000,00000000
33166d5c,3976f604,18716449,9736851a,756c59b7,77061c79,7469d7b7,871e7d7c,79000410,40a18409,16348000,00000000,00000000
3b268ddc,3a78fe04,2891e44a,993e852a,95ec5ab9,7f062c99,f46ad9bf,872e9dfc,7a000818,40c1c40a,183c8000,00000000,00000000
4336ae1c,bb7b020c,38b224cb,9b428d3a,b62cdbbb,830e3cba,34ebdbc3,8f3ebe3c,80020820,50c2048b,1a408800,00000000,00000000
4b46ee1d,3c7f0214,48f2254c,9f42954a,f62d5cbf,83164cfa,356cdfc3,974efe3d,00040c20,60e2050c,1e409000,00000000,00000000
53570e5d,bd81061c,591265cd,a1469d5b,166dddc1,871e5d1a,75ede1c7,9f5f1e40,01041028,6102458d,20449800,00000000,00000000
5b770e9e,3f810a24,7912a64f,a14aa57b,16ae5fc1,8b267d1a,b66fe1cb,a77f1e80,02061030,7102860f,2048a000,00000000,00000000
63872ede,c0830e2c,8932e6d0,a34ead8b,36eee0c3,8f2e8d3a,f6f0e3cf,af8f2000,82081430,8122c690,224ca800,00000000,00000000
6b874f1f,c085123c,895327d0,a552bd8b,572fe0c5,933e8d5b,37f0e5d3,bf8f4001,03081838,81430790,2450b800,00000000,00000000
73976f60,41871644,99736851,a756c59b,777061c7,97469d7b,7871e7d7,c7900041,040a1840,91634811,2654c000,00000000,00000000
7ba78fe0,42891e44,a993e852,a95ec5ab,97f062c9,9f46ad9b,f872e9df,c7a00081,840c1c40,a183c812,285cc000,00000000,00000000
